Device: DDS120
State: Playing
Type: Live
Sample rate:   2.4M sps

Channel 0    Channel1
-0,077,              -0,005
-0,077,              -0,005
-0,077,              -0,005
-0,077,              -0,005
-0,077,              -0,005
-0,077,              0,219
0,139,              0,404
0,317,              0,409
0,321,              0,404
0,317,              0,404
0,317,              0,404
0,317,              0,409
0,321,              0,409
0,321,              0,404
0,317,              0,409
0,321,              0,409
0,321,              0,404
0,317,              0,364
0,278,              0
-0,072,              -0,01
-0,082,              -0,015
-0,086,              -0,015
-0,086,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,01
-0,082,              -0,015
-0,086,              -0,02
-0,091,              -0,005
-0,077,              -0,01
-0,082,              -0,02
-0,091,              0
-0,072,              -0,005
-0,077,              -0,005
-0,077,              -0,005
-0,077,              0
-0,072,              0
-0,072,              0,399
0,312,              0,404
0,317,              0,404
0,317,              0,399
0,312,              0,404
0,317,              0,414
0,326,              0,409
0,321,              0,409
0,321,              0,409
0,321,              0,409
0,321,              0,404
0,317,              0,404
0,317,              0,404
0,317,              0,409
0,321,              0,404
0,317,              0,409
0,321,              0,409
0,321,              0,409
0,321,              0,409
0,321,              0,409
0,321,              0,404
0,317,              0,409
0,321,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,02
-0,091,              -0,02
-0,091,              -0,02
-0,091,              -0,02
-0,091,              -0,02
-0,091,              -0,02
-0,091,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,02
-0,091,              -0,02
-0,091,              -0,02
-0,091,              -0,02
-0,091,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,02
-0,091,              -0,02
-0,091,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,02
-0,091,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,02
-0,091,              -0,015
-0,086,              -0,02
-0,091,              -0,02
-0,091,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,02
-0,091,              -0,02
-0,091,              -0,02
